# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  124       4.711970866205e-10       1.428590165477e-13      -5.125468527222e-12       6.278290664856e-16       5.620986861299e-12       9.226187388932e-13      -5.619566699069e-15 
  125       4.758463220684e-10       1.438565505279e-13      -5.195365160051e-12       6.384287645565e-16       5.497285227353e-12       9.070754487345e-13      -5.543571218862e-15 
  126       4.805016066473e-10       1.447945234551e-13      -5.263535764280e-12       6.491378244120e-16       5.376935257608e-12       8.918617827397e-13      -5.467157047533e-15 
  127       4.851620764416e-10       1.456720191749e-13      -5.329910428782e-12       6.599570285653e-16       5.259916778958e-12       8.769816424423e-13      -5.390514166594e-15 
  128       4.898267946721e-10       1.464881765769e-13      -5.394419596525e-12       6.708871677599e-16       5.146192150817e-12       8.624372412226e-13      -5.313839100696e-15 
  129       4.944947496921e-10       1.472421911999e-13      -5.456994100462e-12       6.819290409374e-16       5.035705785023e-12       8.482290539922e-13      -5.237334984087e-15 
  130       4.991648529832e-10       1.479333168367e-13      -5.517565199435e-12       6.930834552048e-16       4.928383665739e-12       8.343557668787e-13      -5.161211627056e-15 
  131       5.038359371508e-10       1.485608671393e-13      -5.576064614064e-12       7.043512258017e-16       4.824132869352e-12       8.208142269096e-13      -5.085685582379e-15 
  132       5.085067539203e-10       1.491242172237e-13      -5.632424562651e-12       7.157331760676e-16       4.722841084376e-12       8.075993916974e-13      -5.010980211775e-15 
  133       5.131759721329e-10       1.496228052752e-13      -5.686577797073e-12       7.272301374098e-16       4.624376131350e-12       7.947042791237e-13      -4.937325752350e-15 
  134       5.178421757411e-10       1.500561341532e-13      -5.738457638676e-12       7.388429492702e-16       4.528585482744e-12       7.821199170235e-13      -4.864959383044e-15 
  135       5.225038618049e-10       1.504237729965e-13      -5.787998014179e-12       7.505724590931e-16       4.435295782852e-12       7.698352928701e-13      -4.794125291084e-15 
  136       5.271594384872e-10       1.507253588279e-13      -5.835133491562e-12       7.624195222923e-16       4.344312367701e-12       7.578373034592e-13      -4.725074738433e-15 
  137       5.318073622813e-10       1.509606252275e-13      -5.879799922261e-12       7.743849750864e-16       4.255460553817e-12       7.461134194511e-13      -4.658004690555e-15 
  138       5.364465699605e-10       1.511294883029e-13      -5.921936366746e-12       7.864695498999e-16       4.168715342847e-12       7.346600966915e-13      -4.592866394629e-15 
