# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  138       5.362169348531e-10       1.505332339877e-13      -5.935246992781e-12       0.000000000000e+00       4.168715342847e-12       7.346600966915e-13      -4.592866394629e-15 
  139       5.408544110150e-10       1.506229436077e-13      -5.975200678833e-12       0.000000000000e+00       4.084084290863e-12       7.234751439395e-13      -4.529537026948e-15 
  140       5.454814989988e-10       1.506459164462e-13      -6.012509311489e-12       0.000000000000e+00       4.001566730777e-12       7.125550533293e-13      -4.467879032783e-15 
  141       5.500971295516e-10       1.506023321978e-13      -6.047115235515e-12       0.000000000000e+00       3.921153557361e-12       7.018949672874e-13      -4.407739802877e-15 
  142       5.547001840162e-10       1.504924578940e-13      -6.078961865176e-12       0.000000000000e+00       3.842827012259e-12       6.914886454481e-13      -4.348951349936e-15 
  143       5.592894932068e-10       1.503166496781e-13      -6.107993723806e-12       0.000000000000e+00       3.766560469007e-12       6.813284315701e-13      -4.291329985124e-15 
  144       5.638638362830e-10       1.500753545815e-13      -6.134156483383e-12       0.000000000000e+00       3.692318218044e-12       6.714052204522e-13      -4.234675994551e-15 
  145       5.684219396243e-10       1.497691122986e-13      -6.157397004106e-12       0.000000000000e+00       3.620055251734e-12       6.617084248500e-13      -4.178773315768e-15 
  146       5.729624757052e-10       1.493985569628e-13      -6.177663373964e-12       0.000000000000e+00       3.549717049376e-12       6.522259423917e-13      -4.123389214258e-15 
  147       5.774840619692e-10       1.489644189218e-13      -6.194904948312e-12       0.000000000000e+00       3.481239362222e-12       6.429441224944e-13      -4.068273959927e-15 
  148       5.819852597038e-10       1.484675265133e-13      -6.209072389446e-12       0.000000000000e+00       3.414547998497e-12       6.338477332803e-13      -4.013160503598e-15 
  149       5.864645729152e-10       1.479088078406e-13      -6.220117706175e-12       0.000000000000e+00       3.349558608406e-12       6.249199284928e-13      -3.957764153503e-15 
  150       5.909204472024e-10       1.472892925479e-13      -6.227994293394e-12       0.000000000000e+00       3.286176469159e-12       6.161422144125e-13      -3.901782251773e-15 
  151       5.953512686322e-10       1.466101135961e-13      -6.232656971662e-12       0.000000000000e+00       3.224296269981e-12       6.074944167740e-13      -3.844893850932e-15 
  152       5.997553626135e-10       1.458725090384e-13      -6.234062026771e-12       0.000000000000e+00       3.163801897130e-12       5.989546476812e-13      -3.786759390387e-15 
  153       6.041311163664e-10       1.450778078802e-13      -6.232167488710e-12       0.000000000000e+00       3.104590432020e-12       5.905043686763e-13      -3.727102987259e-15 
  154       6.084773615025e-10       1.442273824436e-13      -6.226933914443e-12       0.000000000000e+00       3.046647107648e-12       5.821441790432e-13      -3.665968595287e-15 
  155       6.127930250205e-10       1.433226949404e-13      -6.218323753670e-12       0.000000000000e+00       2.989976940935e-12       5.738794385757e-13      -3.603487146615e-15 
  156       6.170770084152e-10       1.423653146703e-13      -6.206301156431e-12       0.000000000000e+00       2.934581054811e-12       5.657152962313e-13      -3.539796173513e-15 
  157       6.213281871822e-10       1.413569197157e-13      -6.190832013898e-12       0.000000000000e+00       2.880456586545e-12       5.576566830013e-13      -3.475039905621e-15 
  158       6.255454103215e-10       1.402992986353e-13      -6.171883999170e-12       0.000000000000e+00       2.827596596078e-12       5.497083047818e-13      -3.409369367187e-15 
  159       6.297274998417e-10       1.391943521595e-13      -6.149426608063e-12       0.000000000000e+00       2.775989974354e-12       5.418746352440e-13      -3.342942474315e-15 
  160       6.338732502640e-10       1.380440948846e-13      -6.123431199904e-12       0.000000000000e+00       2.725621351653e-12       5.341599087052e-13      -3.275924132203e-15 
  161       6.379814281266e-10       1.368506569671e-13      -6.093871038326e-12       0.000000000000e+00       2.676471005922e-12       5.265681129988e-13      -3.208486332388e-15 
  162       6.420507714881e-10       1.356162858184e-13      -6.060721332058e-12       0.000000000000e+00       2.628514771107e-12       5.191029823456e-13      -3.140808249988e-15 
  163       6.460799894323e-10       1.343433477993e-13      -6.023959275719e-12       0.000000000000e+00       2.581723945485e-12       5.117679902239e-13      -3.073076340943e-15 
  164       6.500677615715e-10       1.330343299145e-13      -5.983564090614e-12       0.000000000000e+00       2.536065199996e-12       5.045663422400e-13      -3.005484439259e-15 
  165       6.540127375512e-10       1.316918415070e-13      -5.939517065520e-12       0.000000000000e+00       2.491500486576e-12       4.975009689994e-13      -2.938233854251e-15 
  166       6.579135365538e-10       1.303186159529e-13      -5.891801597488e-12       0.000000000000e+00       2.447986946489e-12       4.905745189770e-13      -2.871533467782e-15 
