t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,P_eta_left,P_eta_right,P_eta_total,Tau_vx,Tau_vy,Tau_bx,Tau_by
4.60000000e-02,4.30080000e-08,4.30080000e-08,8.31093868e-34,4.30079975e-08,1.12900977e-09,0.00000000e+00,0.00000000e+00,5.40478277e-15,-1.13500438e-13,-1.70385157e-39,1.02229341e-38,1.57418409e-20,2.00236450e-38,7.23852392e-24,-7.23852333e-24,-1.44770473e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.70000000e-02,4.30080000e-08,4.30080000e-08,9.05789885e-34,4.30079974e-08,1.15355346e-09,0.00000000e+00,0.00000000e+00,5.52227803e-15,-1.15967839e-13,-1.89740838e-39,1.13842553e-38,1.64337081e-20,2.18232939e-38,7.55752113e-24,-7.55752090e-24,-1.51150420e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.80000000e-02,4.30080000e-08,4.30080000e-08,9.85410529e-34,4.30079972e-08,1.17809715e-09,0.00000000e+00,0.00000000e+00,5.63977329e-15,-1.18435239e-13,-2.10816588e-39,1.26487790e-38,1.71404542e-20,2.37415903e-38,7.88344485e-24,-7.88344408e-24,-1.57668889e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4.90000000e-02,4.30080000e-08,4.30080000e-08,1.07016760e-33,4.30079971e-08,1.20264083e-09,0.00000000e+00,0.00000000e+00,5.75726854e-15,-1.20902639e-13,-2.33724563e-39,1.40232344e-38,1.78620791e-20,2.57836370e-38,8.21629788e-24,-8.21629761e-24,-1.64325955e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.00000000e-02,4.30080000e-08,4.30080000e-08,1.16027737e-33,4.30079970e-08,1.22718452e-09,0.00000000e+00,0.00000000e+00,5.87476380e-15,-1.23370040e-13,-2.58581690e-39,1.55146370e-38,1.85985829e-20,2.79546440e-38,8.55608467e-24,-8.55608383e-24,-1.71121685e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.10000000e-02,4.30080000e-08,4.30080000e-08,1.25596055e-33,4.30079969e-08,1.25172821e-09,0.00000000e+00,0.00000000e+00,5.99225905e-15,-1.25837440e-13,-2.85509766e-39,1.71302946e-38,1.93499656e-20,3.02599291e-38,8.90280818e-24,-8.90280789e-24,-1.78056161e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.20000000e-02,4.30080000e-08,4.30080000e-08,1.35744233e-33,4.30079968e-08,1.27627190e-09,0.00000000e+00,0.00000000e+00,6.10975431e-15,-1.28304840e-13,-3.14635559e-39,1.88778130e-38,2.01162272e-20,3.27049173e-38,9.25647310e-24,-9.25647211e-24,-1.85129452e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.30000000e-02,4.30080000e-08,4.30080000e-08,1.46495235e-33,4.30079966e-08,1.30081559e-09,0.00000000e+00,0.00000000e+00,6.22724956e-15,-1.30772241e-13,-3.46090907e-39,2.07651025e-38,2.08973675e-20,3.52951409e-38,9.61708217e-24,-9.61708181e-24,-1.92341640e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.40000000e-02,4.30080000e-08,4.30080000e-08,1.57872470e-33,4.30079965e-08,1.32535927e-09,0.00000000e+00,0.00000000e+00,6.34474481e-15,-1.33239641e-13,-3.80012815e-39,2.28003831e-38,2.16933868e-20,3.80362399e-38,9.98464052e-24,-9.98463940e-24,-1.99692799e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.50000000e-02,4.30080000e-08,4.30080000e-08,1.69899794e-33,4.30079964e-08,1.34990296e-09,0.00000000e+00,0.00000000e+00,6.46224007e-15,-1.35707041e-13,-4.16543557e-39,2.49921914e-38,2.25042849e-20,4.09339614e-38,1.03591506e-23,-1.03591502e-23,-2.07183009e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.60000000e-02,4.30080000e-08,4.30080000e-08,1.82601509e-33,4.30079963e-08,1.37444665e-09,0.00000000e+00,0.00000000e+00,6.57973532e-15,-1.38174442e-13,-4.55830775e-39,2.73493855e-38,2.33300619e-20,4.39941602e-38,1.07406181e-23,-1.07406169e-23,-2.14812350e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.70000000e-02,4.30080000e-08,4.30080000e-08,1.96002363e-33,4.30079961e-08,1.39899034e-09,0.00000000e+00,0.00000000e+00,6.69723056e-15,-1.40641842e-13,-4.98027578e-39,2.98811520e-38,2.41707177e-20,4.72227984e-38,1.11290452e-23,-1.11290447e-23,-2.22580900e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.80000000e-02,4.30080000e-08,4.30080000e-08,2.10127549e-33,4.30079960e-08,1.42353402e-09,0.00000000e+00,0.00000000e+00,6.81472581e-15,-1.43109242e-13,-5.43292639e-39,3.25970110e-38,2.50262524e-20,5.06259453e-38,1.15244379e-23,-1.15244365e-23,-2.30488744e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5.90000000e-02,4.30080000e-08,4.30080000e-08,2.25002706e-33,4.30079958e-08,1.44807771e-09,0.00000000e+00,0.00000000e+00,6.93222106e-15,-1.45576642e-13,-5.91790300e-39,3.55068230e-38,2.58966659e-20,5.42097780e-38,1.19267982e-23,-1.19267976e-23,-2.38535959e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6.00000000e-02,4.30080000e-08,4.30080000e-08,2.40653920e-33,4.30079957e-08,1.47262140e-09,0.00000000e+00,0.00000000e+00,7.04971630e-15,-1.48044042e-13,-6.43690665e-39,3.86207940e-38,2.67819583e-20,5.79805806e-38,1.23361326e-23,-1.23361311e-23,-2.46722637e-23,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
