t,E_tot,E_x,E_y,E_weak,proj_bx,P_tau,W_tau,C_vx_bx,C_bx_wx,C_vy_by,C_by_wy,D_bx,D_by,Tau_vx,Tau_vy,Tau_bx,Tau_by
6.90000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079943e-08,1.69351458e-09,0.00000000e+00,0.00000000e+00,8.10717346e-15,-1.70250643e-13,0.00000000e+00,0.00000000e+00,3.53824286e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.00000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079942e-08,1.71805826e-09,0.00000000e+00,0.00000000e+00,8.22466870e-15,-1.72718043e-13,0.00000000e+00,0.00000000e+00,3.64154378e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.10000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079940e-08,1.74260195e-09,0.00000000e+00,0.00000000e+00,8.34216393e-15,-1.75185442e-13,0.00000000e+00,0.00000000e+00,3.74633104e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.20000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079938e-08,1.76714563e-09,0.00000000e+00,0.00000000e+00,8.45965916e-15,-1.77652842e-13,0.00000000e+00,0.00000000e+00,3.85260465e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.30000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079937e-08,1.79168932e-09,0.00000000e+00,0.00000000e+00,8.57715439e-15,-1.80120242e-13,0.00000000e+00,0.00000000e+00,3.96036460e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.40000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079935e-08,1.81623300e-09,0.00000000e+00,0.00000000e+00,8.69464962e-15,-1.82587642e-13,0.00000000e+00,0.00000000e+00,4.06961089e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.50000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079933e-08,1.84077669e-09,0.00000000e+00,0.00000000e+00,8.81214484e-15,-1.85055042e-13,0.00000000e+00,0.00000000e+00,4.18034353e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.60000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079931e-08,1.86532037e-09,0.00000000e+00,0.00000000e+00,8.92964007e-15,-1.87522441e-13,0.00000000e+00,0.00000000e+00,4.29256251e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.70000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079929e-08,1.88986406e-09,0.00000000e+00,0.00000000e+00,9.04713529e-15,-1.89989841e-13,0.00000000e+00,0.00000000e+00,4.40626784e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.80000000e-02,4.30080000e-08,4.30080000e-08,0.00000000e+00,4.30079928e-08,1.91440774e-09,0.00000000e+00,0.00000000e+00,9.16463052e-15,-1.92457241e-13,0.00000000e+00,0.00000000e+00,4.52145950e-20,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
